
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features//c3d_flow_nd_conv_bs150_model2_iter_20000
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.680677
Expriment finished at 2016-10-31 15:52:09.923041 
Per class accuracy
Class 0: ... 0.83
Class 1: ... 0.81
Class 2: ... 0.52
Class 3: ... 0.73
Class 4: ... 0.70
Class 5: ... 0.79
Class 6: ... 0.53
Class 7: ... 0.62
Class 8: ... 0.97
Class 9: ... 0.93
Class 10: ... 0.78
Class 11: ... 0.92
Class 12: ... 0.46
Class 13: ... 0.52
Class 14: ... 0.63
Class 15: ... 0.77
Class 16: ... 0.71
Class 17: ... 0.95
Class 18: ... 0.49
Class 19: ... 0.26
Class 20: ... 0.87
Class 21: ... 0.65
Class 22: ... 0.45
Class 23: ... 0.47
Class 24: ... 0.48
Class 25: ... 0.90
Class 26: ... 0.67
Class 27: ... 0.82
Class 28: ... 0.35
Class 29: ... 0.64
Class 30: ... 0.64
Class 31: ... 0.54
Class 32: ... 0.78
Class 33: ... 0.51
Class 34: ... 0.27
Class 35: ... 0.72
Class 36: ... 0.68
Class 37: ... 0.32
Class 38: ... 0.75
Class 39: ... 0.53
Class 40: ... 0.90
Class 41: ... 0.96
Class 42: ... 0.86
Class 43: ... 0.95
Class 44: ... 0.69
Class 45: ... 0.87
Class 46: ... 0.83
Class 47: ... 0.67
Class 48: ... 0.63
Class 49: ... 0.79
Class 50: ... 0.44
Class 51: ... 0.53
Class 52: ... 0.90
Class 53: ... 0.36
Class 54: ... 0.34
Class 55: ... 0.52
Class 56: ... 0.75
Class 57: ... 0.34
Class 58: ... 0.75
Class 59: ... 0.72
Class 60: ... 0.61
Class 61: ... 0.74
Class 62: ... 0.68
Class 63: ... 0.76
Class 64: ... 0.69
Class 65: ... 0.94
Class 66: ... 0.75
Class 67: ... 0.58
Class 68: ... 0.95
Class 69: ... 0.55
Class 70: ... 0.84
Class 71: ... 0.71
Class 72: ... 0.77
Class 73: ... 0.54
Class 74: ... 0.59
Class 75: ... 0.75
Class 76: ... 0.79
Class 77: ... 0.50
Class 78: ... 0.41
Class 79: ... 0.71
Class 80: ... 0.38
Class 81: ... 0.61
Class 82: ... 0.79
Class 83: ... 0.84
Class 84: ... 0.83
Class 85: ... 0.71
Class 86: ... 0.83
Class 87: ... 0.86
Class 88: ... 0.75
Class 89: ... 0.57
Class 90: ... 0.53
Class 91: ... 0.61
Class 92: ... 0.72
Class 93: ... 0.77
Class 94: ... 0.73
Class 95: ... 0.70
Class 96: ... 0.91
Class 97: ... 0.68
Class 98: ... 0.63
Class 99: ... 0.89
Class 100: ... 0.55

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features//c3d_flow_nd_conv_bs150_model2_iter_20000
Probability extention: prob
Video accuracy on testset split 1 of UCF101 is 0.802009
Expriment finished at 2016-10-31 15:52:12.780603 
Per class accuracy
Class 0: ... 0.98
Class 1: ... 0.91
Class 2: ... 0.78
Class 3: ... 0.83
Class 4: ... 0.87
Class 5: ... 0.81
Class 6: ... 0.63
Class 7: ... 0.77
Class 8: ... 0.97
Class 9: ... 1.00
Class 10: ... 0.95
Class 11: ... 1.00
Class 12: ... 0.50
Class 13: ... 0.64
Class 14: ... 0.73
Class 15: ... 0.86
Class 16: ... 0.76
Class 17: ... 0.97
Class 18: ... 0.64
Class 19: ... 0.36
Class 20: ... 1.00
Class 21: ... 0.79
Class 22: ... 0.50
Class 23: ... 0.59
Class 24: ... 0.55
Class 25: ... 0.98
Class 26: ... 0.78
Class 27: ... 0.94
Class 28: ... 0.55
Class 29: ... 0.75
Class 30: ... 0.78
Class 31: ... 0.68
Class 32: ... 0.97
Class 33: ... 0.70
Class 34: ... 0.33
Class 35: ... 0.80
Class 36: ... 0.79
Class 37: ... 0.47
Class 38: ... 0.98
Class 39: ... 0.70
Class 40: ... 0.97
Class 41: ... 0.98
Class 42: ... 0.94
Class 43: ... 1.00
Class 44: ... 0.87
Class 45: ... 0.95
Class 46: ... 0.84
Class 47: ... 0.84
Class 48: ... 0.78
Class 49: ... 0.85
Class 50: ... 0.56
Class 51: ... 0.59
Class 52: ... 0.97
Class 53: ... 0.42
Class 54: ... 0.53
Class 55: ... 0.71
Class 56: ... 1.00
Class 57: ... 0.61
Class 58: ... 0.93
Class 59: ... 0.83
Class 60: ... 0.63
Class 61: ... 0.94
Class 62: ... 0.77
Class 63: ... 0.93
Class 64: ... 0.84
Class 65: ... 1.00
Class 66: ... 0.82
Class 67: ... 0.93
Class 68: ... 1.00
Class 69: ... 0.71
Class 70: ... 0.90
Class 71: ... 0.80
Class 72: ... 0.82
Class 73: ... 0.76
Class 74: ... 0.85
Class 75: ... 0.86
Class 76: ... 0.95
Class 77: ... 0.65
Class 78: ... 0.52
Class 79: ... 0.78
Class 80: ... 0.45
Class 81: ... 0.86
Class 82: ... 0.97
Class 83: ... 0.97
Class 84: ... 0.88
Class 85: ... 0.94
Class 86: ... 0.94
Class 87: ... 0.97
Class 88: ... 0.98
Class 89: ... 0.69
Class 90: ... 0.75
Class 91: ... 0.88
Class 92: ... 0.89
Class 93: ... 0.84
Class 94: ... 0.74
Class 95: ... 0.89
Class 96: ... 0.97
Class 97: ... 0.81
Class 98: ... 0.57
Class 99: ... 0.96
Class 100: ... 0.75

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/c3d-features//c3d_flow_nd_conv_bs150_model1_iter_10000
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.549491
Expriment finished at 2016-10-31 16:43:08.307427 
Per class accuracy
Class 0: ... 0.63
Class 1: ... 0.53
Class 2: ... 0.30
Class 3: ... 0.63
Class 4: ... 0.49
Class 5: ... 0.71
Class 6: ... 0.45
Class 7: ... 0.41
Class 8: ... 0.87
Class 9: ... 0.88
Class 10: ... 0.52
Class 11: ... 0.84
Class 12: ... 0.25
Class 13: ... 0.29
Class 14: ... 0.51
Class 15: ... 0.55
Class 16: ... 0.73
Class 17: ... 0.93
Class 18: ... 0.43
Class 19: ... 0.23
Class 20: ... 0.57
Class 21: ... 0.63
Class 22: ... 0.41
Class 23: ... 0.35
Class 24: ... 0.47
Class 25: ... 0.74
Class 26: ... 0.70
Class 27: ... 0.63
