
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_1_fc_split1_bs128_wi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.767988
Expriment finished at 2017-04-03 16:18:14.692116 
Per class accuracy
Class 0: ... 0.82
Class 1: ... 0.84
Class 2: ... 0.66
Class 3: ... 0.73
Class 4: ... 0.83
Class 5: ... 0.93
Class 6: ... 0.82
Class 7: ... 0.54
Class 8: ... 1.00
Class 9: ... 0.84
Class 10: ... 0.91
Class 11: ... 1.00
Class 12: ... 0.44
Class 13: ... 0.83
Class 14: ... 0.58
Class 15: ... 0.99
Class 16: ... 0.70
Class 17: ... 0.99
Class 18: ... 0.90
Class 19: ... 0.59
Class 20: ... 0.84
Class 21: ... 0.92
Class 22: ... 0.43
Class 23: ... 0.10
Class 24: ... 0.84
Class 25: ... 0.93
Class 26: ... 0.93
Class 27: ... 0.97
Class 28: ... 0.93
Class 29: ... 0.92
Class 30: ... 0.92
Class 31: ... 0.60
Class 32: ... 0.73
Class 33: ... 0.71
Class 34: ... 0.36
Class 35: ... 0.67
Class 36: ... 0.67
Class 37: ... 0.19
Class 38: ... 0.79
Class 39: ... 0.54
Class 40: ... 0.99
Class 41: ... 1.00
Class 42: ... 0.91
Class 43: ... 0.97
Class 44: ... 0.76
Class 45: ... 0.84
Class 46: ... 0.71
Class 47: ... 0.55
Class 48: ... 0.79
Class 49: ... 0.76
Class 50: ... 0.68
Class 51: ... 0.54
Class 52: ... 0.75
Class 53: ... 0.69
Class 54: ... 0.59
Class 55: ... 0.46
Class 56: ... 0.99
Class 57: ... 0.47
Class 58: ... 0.59
Class 59: ... 0.72
Class 60: ... 0.68
Class 61: ... 0.81
Class 62: ... 0.65
Class 63: ... 0.94
Class 64: ... 0.77
Class 65: ... 0.91
Class 66: ... 0.76
Class 67: ... 0.73
Class 68: ... 0.71
Class 69: ... 0.39
Class 70: ... 0.94
Class 71: ... 0.69
Class 72: ... 0.83
Class 73: ... 0.89
Class 74: ... 0.73
Class 75: ... 0.81
Class 76: ... 0.78
Class 77: ... 0.30
Class 78: ... 0.41
Class 79: ... 0.88
Class 80: ... 0.74
Class 81: ... 0.99
Class 82: ... 0.99
Class 83: ... 0.85
Class 84: ... 1.00
Class 85: ... 0.76
Class 86: ... 0.97
Class 87: ... 0.96
Class 88: ... 0.70
Class 89: ... 0.85
Class 90: ... 0.87
Class 91: ... 0.98
Class 92: ... 0.86
Class 93: ... 0.98
Class 94: ... 0.87
Class 95: ... 0.90
Class 96: ... 0.90
Class 97: ... 0.88
Class 98: ... 0.80
Class 99: ... 0.93
Class 100: ... 0.58

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_1_fc_split1_bs128_wi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.787470
Expriment finished at 2017-04-03 16:18:17.393150 
Per class accuracy
Class 0: ... 0.80
Class 1: ... 0.88
Class 2: ... 0.66
Class 3: ... 0.77
Class 4: ... 0.87
Class 5: ... 0.93
Class 6: ... 0.86
Class 7: ... 0.57
Class 8: ... 1.00
Class 9: ... 0.83
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.37
Class 13: ... 0.88
Class 14: ... 0.60
Class 15: ... 0.98
Class 16: ... 0.78
Class 17: ... 1.00
Class 18: ... 0.93
Class 19: ... 0.61
Class 20: ... 0.85
Class 21: ... 0.92
Class 22: ... 0.50
Class 23: ... 0.18
Class 24: ... 0.82
Class 25: ... 0.96
Class 26: ... 1.00
Class 27: ... 0.97
Class 28: ... 0.93
Class 29: ... 1.00
Class 30: ... 0.92
Class 31: ... 0.59
Class 32: ... 0.72
Class 33: ... 0.73
Class 34: ... 0.33
Class 35: ... 0.69
Class 36: ... 0.61
Class 37: ... 0.24
Class 38: ... 0.85
Class 39: ... 0.65
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.88
Class 43: ... 0.98
Class 44: ... 0.77
Class 45: ... 0.88
Class 46: ... 0.65
Class 47: ... 0.55
Class 48: ... 0.83
Class 49: ... 0.76
Class 50: ... 0.69
Class 51: ... 0.57
Class 52: ... 0.76
Class 53: ... 0.69
Class 54: ... 0.65
Class 55: ... 0.57
Class 56: ... 1.00
Class 57: ... 0.45
Class 58: ... 0.59
Class 59: ... 0.76
Class 60: ... 0.69
Class 61: ... 0.88
Class 62: ... 0.65
Class 63: ... 0.96
Class 64: ... 0.77
Class 65: ... 0.90
Class 66: ... 0.79
Class 67: ... 0.75
Class 68: ... 0.74
Class 69: ... 0.39
Class 70: ... 0.90
Class 71: ... 0.70
Class 72: ... 0.86
Class 73: ... 0.90
Class 74: ... 0.79
Class 75: ... 0.89
Class 76: ... 0.77
Class 77: ... 0.37
Class 78: ... 0.41
Class 79: ... 0.88
Class 80: ... 0.78
Class 81: ... 1.00
Class 82: ... 0.97
Class 83: ... 0.90
Class 84: ... 1.00
Class 85: ... 0.81
Class 86: ... 0.97
Class 87: ... 1.00
Class 88: ... 0.74
Class 89: ... 0.87
Class 90: ... 0.93
Class 91: ... 1.00
Class 92: ... 0.87
Class 93: ... 1.00
Class 94: ... 0.91
Class 95: ... 0.89
Class 96: ... 0.91
Class 97: ... 0.89
Class 98: ... 0.77
Class 99: ... 0.96
Class 100: ... 0.64

--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-features//c3d_rgb_ltc_1_fc_split1_bs128_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.775906
Expriment finished at 2017-04-03 16:18:26.814180 
Per class accuracy
Class 0: ... 0.81
Class 1: ... 0.78
Class 2: ... 0.64
Class 3: ... 0.85
Class 4: ... 0.85
Class 5: ... 0.93
Class 6: ... 0.82
Class 7: ... 0.56
Class 8: ... 0.98
Class 9: ... 0.75
Class 10: ... 0.91
Class 11: ... 1.00
Class 12: ... 0.50
Class 13: ... 0.63
Class 14: ... 0.60
Class 15: ... 0.98
Class 16: ... 0.70
Class 17: ... 0.97
Class 18: ... 0.89
Class 19: ... 0.41
Class 20: ... 0.89
Class 21: ... 0.94
Class 22: ... 0.45
Class 23: ... 0.09
Class 24: ... 0.78
Class 25: ... 0.97
Class 26: ... 0.88
Class 27: ... 0.97
Class 28: ... 0.94
Class 29: ... 0.92
Class 30: ... 0.96
Class 31: ... 0.64
Class 32: ... 0.73
Class 33: ... 0.75
Class 34: ... 0.34
Class 35: ... 0.72
Class 36: ... 0.77
Class 37: ... 0.18
