
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/extracted_features/new_test_data/features/c3d_ucf101_finetune_whole_split1_iter_20000_newfb_format/
Probability extention: prob
Clip accuracy on testset split 1 of UCF101 is 0.778060
Expriment finished at 2016-10-24 10:36:38.922406 
Per class accuracy
Class 0: ... 0.72
Class 1: ... 0.69
Class 2: ... 0.67
Class 3: ... 0.96
Class 4: ... 0.87
Class 5: ... 0.94
Class 6: ... 0.84
Class 7: ... 0.51
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 0.94
Class 11: ... 1.00
Class 12: ... 0.70
Class 13: ... 0.68
Class 14: ... 0.48
Class 15: ... 0.94
Class 16: ... 0.48
Class 17: ... 0.99
Class 18: ... 0.80
Class 19: ... 0.38
Class 20: ... 0.86
Class 21: ... 0.91
Class 22: ... 0.55
Class 23: ... 0.52
Class 24: ... 0.84
Class 25: ... 1.00
Class 26: ... 0.84
Class 27: ... 0.98
Class 28: ... 0.88
Class 29: ... 0.91
Class 30: ... 0.95
Class 31: ... 0.45
Class 32: ... 0.73
Class 33: ... 0.44
Class 34: ... 0.33
Class 35: ... 0.70
Class 36: ... 0.76
Class 37: ... 0.32
Class 38: ... 0.71
Class 39: ... 0.40
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 0.99
Class 43: ... 0.99
Class 44: ... 0.70
Class 45: ... 0.89
Class 46: ... 0.85
Class 47: ... 0.70
Class 48: ... 0.86
Class 49: ... 0.79
Class 50: ... 0.78
Class 51: ... 0.52
Class 52: ... 0.83
Class 53: ... 0.52
Class 54: ... 0.76
Class 55: ... 0.47
Class 56: ... 0.91
Class 57: ... 0.47
Class 58: ... 0.67
Class 59: ... 0.49
Class 60: ... 0.76
Class 61: ... 0.76
Class 62: ... 0.79
Class 63: ... 0.99
Class 64: ... 0.82
Class 65: ... 0.97
Class 66: ... 0.76
Class 67: ... 0.56
Class 68: ... 0.99
Class 69: ... 0.55
Class 70: ... 0.90
Class 71: ... 0.75
Class 72: ... 0.86
Class 73: ... 0.96
Class 74: ... 0.91
Class 75: ... 0.94
Class 76: ... 0.84
Class 77: ... 0.21
Class 78: ... 0.32
Class 79: ... 0.93
Class 80: ... 0.74
Class 81: ... 0.93
Class 82: ... 0.96
Class 83: ... 0.93
Class 84: ... 1.00
Class 85: ... 0.91
Class 86: ... 0.96
Class 87: ... 0.98
Class 88: ... 0.74
Class 89: ... 1.00
Class 90: ... 0.86
Class 91: ... 0.86
Class 92: ... 0.79
Class 93: ... 0.99
Class 94: ... 0.91
Class 95: ... 0.95
Class 96: ... 0.99
