
--------------------------------------------------
Compute clip accuracy of UCF101 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_ltc_fcan_maxpool_sz58_len60_1_fc_split1_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Clip accuracy on testset split 1 of UCF101 is 0.819350
Expriment finished at 2017-06-03 00:12:31.951656 
Per class accuracy
Class 0: ... 0.82
Class 1: ... 0.81
Class 2: ... 0.64
Class 3: ... 0.96
Class 4: ... 0.87
Class 5: ... 0.94
Class 6: ... 0.83
Class 7: ... 0.75
Class 8: ... 1.00
Class 9: ... 0.97
Class 10: ... 0.93
Class 11: ... 0.99
Class 12: ... 0.65
Class 13: ... 0.82
Class 14: ... 0.58
Class 15: ... 0.94
Class 16: ... 0.74
Class 17: ... 0.99
Class 18: ... 0.87
Class 19: ... 0.37
Class 20: ... 0.92
Class 21: ... 0.88
Class 22: ... 0.59
Class 23: ... 0.40
Class 24: ... 0.93
Class 25: ... 1.00
Class 26: ... 0.94
Class 27: ... 0.99
Class 28: ... 0.81
Class 29: ... 0.93
Class 30: ... 0.96
Class 31: ... 0.66
Class 32: ... 0.77
Class 33: ... 0.68
Class 34: ... 0.33
Class 35: ... 0.72
Class 36: ... 0.74
Class 37: ... 0.40
Class 38: ... 0.85
Class 39: ... 0.66
Class 40: ... 1.00
Class 41: ... 1.00
Class 42: ... 1.00
Class 43: ... 0.98
Class 44: ... 0.90
Class 45: ... 0.94
Class 46: ... 0.89
Class 47: ... 0.62
Class 48: ... 0.89
Class 49: ... 0.88
Class 50: ... 0.75
Class 51: ... 0.53
Class 52: ... 0.83
Class 53: ... 0.81
Class 54: ... 0.66
Class 55: ... 0.59
Class 56: ... 0.96
Class 57: ... 0.58
Class 58: ... 0.66
Class 59: ... 0.78
Class 60: ... 0.94
Class 61: ... 0.82
Class 62: ... 0.77
Class 63: ... 1.00
Class 64: ... 0.71
Class 65: ... 0.96
Class 66: ... 0.85
Class 67: ... 0.70
Class 68: ... 0.87
Class 69: ... 0.73
Class 70: ... 0.94
Class 71: ... 0.84
Class 72: ... 0.83
Class 73: ... 0.93
Class 74: ... 0.85
Class 75: ... 0.92
Class 76: ... 0.89
Class 77: ... 0.40
Class 78: ... 0.62
Class 79: ... 0.94
Class 80: ... 0.77
Class 81: ... 0.93
Class 82: ... 0.97
Class 83: ... 0.87
Class 84: ... 0.97
Class 85: ... 0.96
Class 86: ... 0.95
Class 87: ... 0.95
Class 88: ... 0.88
Class 89: ... 0.88
Class 90: ... 0.83
Class 91: ... 0.86
Class 92: ... 0.84
Class 93: ... 0.94
Class 94: ... 0.91
Class 95: ... 0.90
Class 96: ... 0.98
Class 97: ... 0.90
Class 98: ... 0.60
Class 99: ... 0.92
Class 100: ... 0.69

--------------------------------------------------
Compute video accuracy of UCF101 split 1 dataset.
Feature folder: /home/tranlaman/Public/data/ucf101_features/c3d-ltc-fcan-comp//c3d_rgb_ltc_fcan_maxpool_sz58_len60_1_fc_split1_bs64_fi1_iter_20000
Probability extention: rgb_fc8
Video accuracy on testset split 1 of UCF101 is 0.843246
Expriment finished at 2017-06-03 00:12:34.769815 
Per class accuracy
Class 0: ... 0.84
Class 1: ... 0.78
Class 2: ... 0.71
Class 3: ... 0.97
Class 4: ... 0.94
Class 5: ... 0.95
Class 6: ... 0.86
Class 7: ... 0.80
Class 8: ... 1.00
Class 9: ... 1.00
Class 10: ... 1.00
Class 11: ... 1.00
Class 12: ... 0.66
Class 13: ... 0.85
Class 14: ... 0.60
Class 15: ... 0.93
Class 16: ... 0.73
Class 17: ... 1.00
Class 18: ... 0.89
Class 19: ... 0.36
Class 20: ... 0.94
Class 21: ... 0.87
Class 22: ... 0.64
Class 23: ... 0.39
Class 24: ... 0.94
Class 25: ... 1.00
Class 26: ... 0.98
Class 27: ... 1.00
Class 28: ... 0.90
Class 29: ... 0.94
Class 30: ... 0.97
Class 31: ... 0.68
Class 32: ... 0.82
